x	y	Cell_class	Neuron_cluster_ID	z	bregma
-1874x4599	-1874.408022	4598.684263	Excitatory	E-14	PVT	-0.04
-1869x4496	-1869.165853	4495.969142	OD Immature 1		fx	-0.04
-1851x4603	-1851.057518	4603.274279	Excitatory	E-9	PVT	-0.04
-1966x4563	-1965.694727	4563.133146	OD Mature 2		PVT	-0.04
-1935x4513	-1935.277397	4513.402591	Astrocyte		PVT	-0.04
-1912x4518	-1911.891408	4518.015197	Excitatory	E-9	PVT	-0.04
-1887x4511	-1887.452165	4511.454778	OD Mature 2		fx	-0.04
-1886x4503	-1886.092119	4502.760806	Endothelial 1		fx	-0.04
-1882x4453	-1881.639719	4453.436315	OD Mature 2		fx	-0.04
-1881x4576	-1880.910093	4576.078354	Excitatory	E-9	PVT	-0.04
-1963x4508	-1962.893407	4508.498938	OD Mature 2		fx	-0.04
-1963x4600	-1962.551656	4599.827974	Excitatory	E-9	PVT	-0.04
-1959x4578	-1959.231409	4577.564192	Excitatory	E-9	PVT	-0.04
-1905x4576	-1905.324275	4576.32294	Endothelial 1		PVT	-0.04
-1852x4543	-1851.78851	4542.885363	OD Immature 1		PVT	-0.04
-1851x4560	-1850.640539	4559.713478	Astrocyte		PVT	-0.04
-2025x4583	-2024.675183	4582.658258	Astrocyte		PVT	-0.04
-1929x4491	-1929.380279	4491.37678	Excitatory	E-14	fx	-0.04
-1865x4588	-1865.000144	4588.46565	OD Mature 2		PVT	-0.04
-1991x4580	-1990.5873	4579.643368	Excitatory	E-9	PVT	-0.04
-2000x4547	-2000.247085	4547.475226	Excitatory	E-9	PVT	-0.04
-1931x4443	-1930.817334	4442.970837	OD Mature 1		fx	-0.04
-1871x4572	-1871.278881	4572.441612	Excitatory	E-14	PVT	-0.04
-1864x4463	-1864.038162	4462.979794	OD Mature 2		fx	-0.04
-1862x4437	-1861.528832	4437.377706	Excitatory	E-14	fx	-0.04
-2027x4387	-2026.614487	4387.340165	Ependymal		V3	-0.04
-2025x4377	-2024.83485	4377.066132	Ependymal		V3	-0.04
-2024x4402	-2024.499963	4402.024836	Ependymal		V3	-0.04
-2015x4302	-2015.35057	4302.229293	OD Mature 4		fx	-0.04
-2015x4367	-2015.175793	4367.461323	Inhibitory	I-22	V3	-0.04
-2015x4263	-2015.327602	4262.912557	Microglia		fx	-0.04
-2011x4394	-2011.240461	4393.618213	Ependymal		V3	-0.04
-2007x4400	-2007.395035	4400.126254	Ependymal		V3	-0.04
-1997x4402	-1996.650534	4401.988818	Ependymal		V3	-0.04
-1990x4225	-1990.404689	4224.858171	OD Immature 1		fx	-0.04
-1991x4354	-1991.167028	4353.792464	Endothelial 1		V3	-0.04
-1990x4336	-1989.899988	4335.551234	Inhibitory	I-1	fx	-0.04
-1990x4303	-1989.816032	4303.263871	OD Immature 1		fx	-0.04
-1989x4264	-1988.84309	4264.182122	OD Mature 2		fx	-0.04
-1988x4247	-1987.89471	4247.036257	OD Mature 2		fx	-0.04
-1981x4373	-1980.968029	4372.582759	Astrocyte		V3	-0.04
-1977x4399	-1977.063765	4398.599282	Microglia		fx	-0.04
-1978x4279	-1978.128122	4278.63612	OD Mature 2		fx	-0.04
-1966x4344	-1965.692283	4343.718405	Endothelial 1		fx	-0.04
-1965x4322	-1964.899955	4322.292345	Endothelial 1		fx	-0.04
-1960x4355	-1960.000258	4355.316634	Astrocyte		fx	-0.04
-1955x4315	-1955.171189	4314.897879	Endothelial 3		fx	-0.04
-1956x4384	-1955.649462	4383.598093	OD Immature 1		fx	-0.04
-1939x4253	-1938.633242	4253.038014	OD Mature 1		fx	-0.04
-1939x4269	-1939.290415	4268.630838	Microglia		fx	-0.04
-1936x4313	-1935.997871	4313.485839	Astrocyte		fx	-0.04
-1932x4340	-1932.184494	4340.143738	Endothelial 1		fx	-0.04
-1932x4220	-1932.425662	4219.933642	Astrocyte		fx	-0.04
-1931x4300	-1930.776189	4300.045291	Endothelial 1		fx	-0.04
-1920x4261	-1919.54538	4261.438134	Inhibitory	I-30	fx	-0.04
-1898x4309	-1897.554238	4309.032514	Inhibitory	I-1	fx	-0.04
-1897x4281	-1897.147309	4280.78396	Astrocyte		fx	-0.04
-1892x4222	-1892.325956	4222.012654	Astrocyte		fx	-0.04
-1889x4397	-1889.08222	4396.842054	OD Mature 2		fx	-0.04
-1881x4358	-1881.465468	4358.439229	Astrocyte		fx	-0.04
-1874x4407	-1874.088831	4407.374116	Microglia		fx	-0.04
-1870x4291	-1870.046028	4291.082779	OD Mature 2		fx	-0.04
-1869x4251	-1869.488052	4250.870769	Astrocyte		fx	-0.04
-1859x4342	-1859.204542	4341.643143	Endothelial 1		fx	-0.04
-1856x4297	-1855.740568	4297.416513	Inhibitory	I-1	fx	-0.04
-1999x4367	-1999.275821	4367.137406	Ependymal		V3	-0.04
-1971x4304	-1971.396507	4303.513946	Endothelial 1		fx	-0.04
-1961x4335	-1960.93395	4334.645428	Endothelial 1		fx	-0.04
-1944x4232	-1943.647366	4232.403018	Astrocyte		fx	-0.04
-1910x4358	-1909.977756	4357.94143	Astrocyte		fx	-0.04
-1900x4365	-1899.829594	4364.93272	OD Immature 1		fx	-0.04
-2030x4369	-2030.445301	4369.262172	Ependymal		V3	-0.04
-2015x4351	-2015.239097	4350.694369	Ependymal		V3	-0.04
-1914x4229	-1914.01932	4229.172845	Inhibitory	I-30	fx	-0.04
-1907x4243	-1907.058395	4243.477074	Inhibitory	I-8	fx	-0.04
-1893x4251	-1892.921368	4250.895885	Astrocyte		fx	-0.04
-1877x4273	-1876.652529	4273.100542	Inhibitory	I-16	fx	-0.04
-1861x4296	-1860.730383	4295.905343	Microglia		fx	-0.04
-2016x4386	-2016.094035	4386.184409	Ependymal		V3	-0.04
-1927x4327	-1927.365896	4327.158019	Astrocyte		fx	-0.04
-2035x4200	-2034.642061	4200.091024	OD Immature 1		fx	-0.04
-2026x4151	-2026.453486	4151.338231	Inhibitory	I-1	fx	-0.04
-2022x4055	-2022.068991	4054.52361	Inhibitory	I-3	PVH	-0.04
-2012x4182	-2012.379259	4182.015141	OD Mature 1		fx	-0.04
-2007x4201	-2006.53979	4201.462222	OD Mature 2		fx	-0.04
-2005x4131	-2005.262738	4130.7877	Endothelial 1		fx	-0.04
-1997x4149	-1996.874307	4148.810186	Endothelial 3		fx	-0.04
-1987x4133	-1987.275243	4133.340664	Astrocyte		fx	-0.04
-1984x4185	-1984.459993	4184.89505	Endothelial 1		fx	-0.04
-1977x4030	-1976.860506	4029.617705	Inhibitory	I-3	PVH	-0.04
-1976x4194	-1976.026953	4194.233376	Endothelial 1		fx	-0.04
-1974x4108	-1973.8459	4108.297719	Inhibitory	I-3	fx	-0.04
-1975x4164	-1974.690774	4164.437327	Inhibitory	I-1	fx	-0.04
-1971x4089	-1970.732805	4089.143728	Inhibitory	I-1	PVH	-0.04
-1966x4196	-1965.785901	4195.754571	Endothelial 1		fx	-0.04
-1968x4039	-1967.675738	4038.823797	Inhibitory	I-16	PVH	-0.04
-1944x4194	-1944.409318	4194.335666	Endothelial 1		fx	-0.04
-1942x4043	-1941.688744	4043.009698	Excitatory	E-6	PVH	-0.04
-1938x4057	-1938.082783	4057.392062	Inhibitory	I-16	PVH	-0.04
-1940x4197	-1939.790147	4197.135022	OD Immature 1		fx	-0.04
-1940x4156	-1939.617773	4155.646424	Inhibitory	I-3	PVH	-0.04
-1938x4134	-1937.842287	4133.933674	Inhibitory	I-3	PVH	-0.04
-1924x4093	-1924.31233	4092.779785	Microglia		PVH	-0.04
-1923x4140	-1922.805592	4139.85292	Inhibitory	I-9	PVH	-0.04
-1903x4132	-1903.2064	4131.557721	Inhibitory	I-3	PVH	-0.04
-1902x4046	-1901.519769	4045.998736	Inhibitory	I-16	PVH	-0.04
-1894x4138	-1893.718871	4137.601081	Inhibitory	I-3	PVH	-0.04
-1885x4069	-1885.485667	4068.521265	Inhibitory	I-3	PVH	-0.04
-1888x4120	-1888.363871	4120.113043	Inhibitory	I-3	PVH	-0.04
-1877x4170	-1876.882398	4170.40027	Inhibitory	I-3	PVH	-0.04
-1873x4128	-1872.644309	4127.515424	Inhibitory	I-21	PVH	-0.04
-1859x4200	-1858.908955	4199.878702	Inhibitory	I-1	PVH	-0.04
-1855x4110	-1854.854855	4109.832821	Inhibitory	I-16	PVH	-0.04
-1847x4058	-1846.905222	4057.817249	Inhibitory	I-3	PVH	-0.04
-1846x4035	-1846.07657	4035.159759	OD Immature 1		PVH	-0.04
-2012x4059	-2011.625451	4058.944756	Inhibitory	I-4	PVH	-0.04
-1966x4130	-1966.212608	4129.79358	Astrocyte		fx	-0.04
-1965x4059	-1964.512786	4059.338738	Astrocyte		PVH	-0.04
-1964x4206	-1964.164552	4205.895258	OD Mature 2		fx	-0.04
-1942x4088	-1942.342625	4088.405272	Astrocyte		PVH	-0.04
-1914x4022	-1913.752422	4021.859237	Endothelial 1		PVH	-0.04
-1905x4119	-1904.983507	4119.050976	Astrocyte		PVH	-0.04
-1902x4078	-1902.142405	4078.419496	Endothelial 1		PVH	-0.04
-1897x4166	-1897.494901	4166.494605	OD Immature 1		PVH	-0.04
-1882x4101	-1881.764162	4100.746247	OD Immature 1		PVH	-0.04
-1859x4147	-1858.552285	4146.701417	Astrocyte		PVH	-0.04
-2021x4108	-2021.024141	4108.16117	Inhibitory	I-1	fx	-0.04
-1999x4169	-1999.401808	4168.521124	Endothelial 1		fx	-0.04
-1993x4173	-1992.995548	4173.088659	Endothelial 1		fx	-0.04
-1932x4116	-1932.265108	4115.78863	OD Mature 2		PVH	-0.04
-1933x4103	-1933.234852	4102.55856	Inhibitory	I-3	PVH	-0.04
-1911x4041	-1910.782552	4040.597709	OD Mature 1		PVH	-0.04
-1909x4150	-1908.703638	4150.159543	Inhibitory	I-3	PVH	-0.04
-1909x4046	-1909.457802	4045.867131	Inhibitory	I-4	PVH	-0.04
-1882x4039	-1882.369591	4039.046314	Endothelial 3		PVH	-0.04
-2031x4039	-2030.694656	4039.309495	Inhibitory	I-1	PVH	-0.04
-2009x4042	-2009.315298	4041.673853	Inhibitory	I-3	PVH	-0.04
-2002x4040	-2001.947955	4039.533896	Astrocyte		PVH	-0.04
-1934x4187	-1934.358778	4186.783151	Endothelial 3		fx	-0.04
-1928x4196	-1927.921424	4196.031917	Endothelial 1		fx	-0.04
-1872x4119	-1872.06678	4118.576223	Inhibitory	I-3	PVH	-0.04
-1865x4160	-1865.388929	4160.429454	Astrocyte		PVH	-0.04
-1985x4199	-1984.705861	4198.989926	Inhibitory	I-1	fx	-0.04
-1983x4064	-1982.615734	4064.238939	Inhibitory	I-4	PVH	-0.04
-1859x4034	-1859.244116	4034.464794	Astrocyte		PVH	-0.04
-1860x4051	-1860.171808	4051.332573	Inhibitory	I-1	PVH	-0.04
-2030x3974	-2030.078409	3973.629519	Inhibitory	I-1	PVH	-0.04
-2024x3877	-2024.293363	3876.574471	Endothelial 1		PVH	-0.04
-2024x3982	-2024.001319	3982.101345	Endothelial 1		PVH	-0.04
-2026x3932	-2025.8769	3932.253384	Endothelial 3		PVH	-0.04
-2022x3954	-2021.745315	3954.029243	Astrocyte		PVH	-0.04
-2020x3821	-2019.515867	3820.668118	Inhibitory	I-16	PVH	-0.04
-2016x3924	-2016.082386	3924.067375	Endothelial 1		PVH	-0.04
-2013x3981	-2013.332129	3980.925811	Astrocyte		PVH	-0.04
-2015x3888	-2014.674398	3887.973893	Astrocyte		PVH	-0.04
-2010x3965	-2009.75325	3964.576973	Inhibitory	I-30	PVH	-0.04
-2010x3822	-2010.444611	3822.376118	Excitatory	E-18	PVH	-0.04
-1999x3854	-1999.391572	3853.838838	Excitatory	E-6	PVH	-0.04
-1993x3951	-1993.135399	3951.137418	Excitatory	E-6	PVH	-0.04
-1993x3915	-1993.272441	3915.413147	Inhibitory	I-3	PVH	-0.04
-1989x3906	-1988.67693	3906.163382	Inhibitory	I-4	PVH	-0.04
-1986x4007	-1985.930126	4006.945672	Inhibitory	I-1	PVH	-0.04
-1989x3826	-1988.556047	3825.785887	Inhibitory	I-16	PVH	-0.04
-1980x3968	-1979.777513	3967.521213	Astrocyte		PVH	-0.04
-1976x4004	-1976.115198	4004.312287	Endothelial 1		PVH	-0.04
-1973x3917	-1972.914641	3917.359661	Astrocyte		PVH	-0.04
-1970x3981	-1970.292698	3980.509856	Excitatory	E-6	PVH	-0.04
-1967x3858	-1966.78002	3857.668015	Astrocyte		PVH	-0.04
-1963x3937	-1962.805855	3937.001041	OD Immature 1		PVH	-0.04
-1968x3989	-1967.664868	3988.708892	Inhibitory	I-16	PVH	-0.04
-1959x3950	-1959.412435	3950.202772	Excitatory	E-17	PVH	-0.04
-1952x3975	-1952.337063	3975.334179	Inhibitory	I-6	PVH	-0.04
-1950x3956	-1950.44376	3956.167398	Inhibitory	I-4	PVH	-0.04
-1951x3985	-1951.202945	3984.769003	Inhibitory	I-4	PVH	-0.04
-1941x3855	-1941.419635	3855.380961	Endothelial 1		PVH	-0.04
-1944x3909	-1943.542964	3908.620836	Astrocyte		PVH	-0.04
-1941x3932	-1940.688056	3931.742238	Endothelial 1		PVH	-0.04
-1934x3981	-1933.851199	3981.35859	Inhibitory	I-3	PVH	-0.04
-1934x3831	-1934.143789	3831.273162	Inhibitory	I-10	PVH	-0.04
-1928x3943	-1928.402726	3942.66272	Endothelial 1		PVH	-0.04
-1927x3927	-1926.557145	3927.472323	Endothelial 1		PVH	-0.04
-1908x3953	-1908.331709	3953.232564	Astrocyte		PVH	-0.04
-1904x3852	-1904.135475	3852.22943	Astrocyte		PVH	-0.04
-1898x3988	-1897.954538	3987.940081	Astrocyte		PVH	-0.04
-1891x3991	-1890.825059	3990.547732	Endothelial 1		PVH	-0.04
-1884x3950	-1883.866081	3949.749877	Inhibitory	I-4	PVH	-0.04
-1879x3850	-1878.650653	3850.235226	Astrocyte		PVH	-0.04
-1873x3880	-1873.13832	3879.512258	Excitatory	E-6	PVH	-0.04
-1871x3987	-1871.378175	3987.001528	Astrocyte		PVH	-0.04
-1870x3893	-1870.057877	3892.700699	Inhibitory	I-7	PVH	-0.04
-1867x3862	-1867.038879	3862.483578	Excitatory	E-7	PVH	-0.04
-1856x3822	-1856.153524	3821.762732	Astrocyte		PVH	-0.04
-1854x3881	-1853.841251	3880.856064	Microglia		PVH	-0.04
-1852x3984	-1851.655653	3984.419016	Excitatory	E-19	PVH	-0.04
-1849x3960	-1848.633229	3960.34477	Inhibitory	I-8	PVH	-0.04
-2019x3850	-2019.464198	3850.264855	Astrocyte		PVH	-0.04
-2017x4000	-2017.33577	3999.777028	Inhibitory	I-1	PVH	-0.04
-1985x3862	-1985.317604	3862.238292	Astrocyte		PVH	-0.04
-1967x3893	-1967.279526	3892.696343	Endothelial 1		PVH	-0.04
-1960x3840	-1959.535982	3839.594156	OD Immature 1		PVH	-0.04
-1917x3837	-1916.629912	3836.743816	Microglia		PVH	-0.04
-1914x3831	-1914.473026	3830.857789	Microglia		PVH	-0.04
-1905x3980	-1905.425138	3980.150181	Endothelial 3		PVH	-0.04
-1889x3861	-1888.887565	3861.140208	Inhibitory	I-16	PVH	-0.04
-1888x3883	-1888.05459	3882.658604	Inhibitory	I-16	PVH	-0.04
-1884x3914	-1884.25851	3914.368753	Excitatory	E-6	PVH	-0.04
-1991x3890	-1991.081953	3889.548391	Inhibitory	I-1	PVH	-0.04
-1953x3888	-1953.035629	3888.440718	OD Immature 1		PVH	-0.04
-1945x3834	-1944.667816	3834.052293	Inhibitory	I-16	PVH	-0.04
-1900x3938	-1899.56218	3938.009079	Inhibitory	I-10	PVH	-0.04
-1871x3941	-1871.20076	3941.083295	Astrocyte		PVH	-0.04
-1871x3951	-1871.046337	3950.788894	Microglia		PVH	-0.04
-1873x3969	-1873.224219	3968.988798	Inhibitory	I-6	PVH	-0.04
-2001x3926	-2001.262796	3926.464488	Endothelial 1		PVH	-0.04
-1964x3922	-1964.190933	3922.193708	Endothelial 1		PVH	-0.04
-1914x3924	-1914.477165	3923.896603	Inhibitory	I-4	PVH	-0.04
-2029x3890	-2029.129845	3889.991661	Endothelial 3		PVH	-0.04
-2020x3864	-2019.725387	3864.186509	Inhibitory	I-10	PVH	-0.04
-2014x3847	-2014.246149	3846.787	Endothelial 1		PVH	-0.04
-1992x3845	-1991.690064	3844.787557	OD Immature 1		PVH	-0.04
-1976x3941	-1976.4734	3941.346703	Inhibitory	I-4	PVH	-0.04
-1952x3843	-1951.981229	3843.427113	OD Immature 1		PVH	-0.04
-1926x3835	-1925.93755	3835.350679	Excitatory	E-19	PVH	-0.04
-1922x3914	-1922.201945	3914.163855	Inhibitory	I-4	PVH	-0.04
-1905x3905	-1904.644349	3905.156423	Inhibitory	I-14	PVH	-0.04
-1862x3991	-1862.327265	3991.358742	Inhibitory	I-10	PVH	-0.04
-2030x3688	-2029.979226	3687.727183	Inhibitory	I-7	PVH	-0.04
-2030x3770	-2030.263673	3770.035006	Endothelial 3		PVH	-0.04
-2027x3727	-2027.362138	3726.695379	Astrocyte		PVH	-0.04
-2023x3669	-2022.700663	3669.285137	Inhibitory	I-11	PVH	-0.04
-2017x3806	-2016.548866	3806.495136	Endothelial 1		PVH	-0.04
-2013x3714	-2012.695919	3713.706092	Inhibitory	I-16	PVH	-0.04
-2008x3754	-2008.051679	3754.183405	Inhibitory	I-4	PVH	-0.04
-1991x3809	-1991.352723	3808.754682	Inhibitory	I-1	PVH	-0.04
-1982x3629	-1981.50323	3629.383033	Inhibitory	I-1	MPN	-0.04
-1983x3707	-1983.206604	3707.129678	Excitatory	E-17	PVH	-0.04
-1982x3660	-1981.926979	3659.751388	Astrocyte		PVH	-0.04
-1973x3784	-1972.822276	3783.544418	Inhibitory	I-6	PVH	-0.04
-1964x3669	-1964.261427	3668.575453	Inhibitory	I-3	PVH	-0.04
-1963x3733	-1963.075284	3733.233399	Inhibitory	I-4	PVH	-0.04
-1955x3670	-1955.294324	3670.091157	Inhibitory	I-3	PVH	-0.04
-1953x3783	-1953.404052	3783.354512	Inhibitory	I-12	PVH	-0.04
-1952x3795	-1952.102714	3794.69496	Inhibitory	I-4	PVH	-0.04
-1953x3758	-1953.144836	3757.606957	Excitatory	E-6	PVH	-0.04
-1953x3706	-1952.949399	3705.736521	Excitatory	E-8	PVH	-0.04
-1946x3721	-1946.437341	3721.399903	Inhibitory	I-18	PVH	-0.04
-1946x3734	-1945.79276	3734.20191	Endothelial 1		PVH	-0.04
-1944x3635	-1944.007336	3635.101962	Excitatory	E-7	MPN	-0.04
-1937x3647	-1936.805563	3647.235603	Excitatory	E-7	MPN	-0.04
-1934x3711	-1934.399949	3711.275817	Astrocyte		PVH	-0.04
-1931x3803	-1930.678429	3803.100736	Excitatory	E-7	PVH	-0.04
-1921x3737	-1921.477032	3737.21053	Inhibitory	I-10	PVH	-0.04
-1905x3693	-1904.849578	3692.84024	Endothelial 1		PVH	-0.04
-1905x3761	-1905.231169	3760.570776	Excitatory	E-19	PVH	-0.04
-1905x3770	-1905.466485	3769.537019	OD Mature 2		PVH	-0.04
-1903x3636	-1903.336403	3636.069104	Inhibitory	I-11	MPN	-0.04
-1900x3657	-1900.33285	3656.886707	Inhibitory	I-8	MPN	-0.04
-1893x3767	-1893.049509	3766.973778	Inhibitory	I-3	PVH	-0.04
-1890x3729	-1890.174758	3729.000088	Inhibitory	I-16	PVH	-0.04
-1878x3670	-1878.125342	3670.291663	Astrocyte		MPN	-0.04
-1879x3687	-1878.708526	3687.047597	Inhibitory	I-4	MPN	-0.04
-1874x3792	-1873.874358	3792.154857	Excitatory	E-7	PVH	-0.04
-1867x3630	-1866.696864	3630.011866	Inhibitory	I-14	MPN	-0.04
-1858x3754	-1857.584393	3753.593488	Excitatory	E-7	PVH	-0.04
-1856x3792	-1855.885456	3791.664528	Inhibitory	I-8	PVH	-0.04
-1858x3687	-1857.623297	3687.180252	Inhibitory	I-7	MPN	-0.04
-1856x3766	-1855.835077	3766.425823	Inhibitory	I-14	PVH	-0.04
-2006x3683	-2005.681267	3682.881122	Excitatory	E-3	PVH	-0.04
-2000x3674	-1999.901818	3674.203384	Excitatory	E-17	PVH	-0.04
-1906x3663	-1906.303298	3663.163084	Inhibitory	I-7	MPN	-0.04
-1882x3725	-1881.512291	3725.413286	Excitatory	E-7	PVH	-0.04
-1877x3746	-1877.208927	3745.768147	Inhibitory	I-11	PVH	-0.04
-1860x3726	-1860.367469	3725.769605	Inhibitory	I-14	PVH	-0.04
-1859x3736	-1859.443076	3736.042922	Inhibitory	I-3	PVH	-0.04
-1947x3689	-1947.466923	3688.718465	Excitatory	E-7	PVH	-0.04
-1936x3685	-1935.65068	3684.680575	Inhibitory	I-34	PVH	-0.04
-1929x3681	-1928.623255	3681.395879	Astrocyte		PVH	-0.04
-1916x3711	-1916.066852	3711.464288	Excitatory	E-17	PVH	-0.04
-1889x3716	-1888.958161	3716.106333	Excitatory	E-7	PVH	-0.04
-1877x3633	-1876.679404	3633.0888	Inhibitory	I-16	MPN	-0.04
-1857x3665	-1856.803239	3664.863839	Inhibitory	I-11	MPN	-0.04
-2018x3744	-2017.779015	3743.743635	Inhibitory	I-1	PVH	-0.04
-2004x3637	-2003.797123	3636.877589	Inhibitory	I-1	MPN	-0.04
-1945x3715	-1944.927611	3715.325194	Excitatory	E-15	PVH	-0.04
-1904x3673	-1904.152177	3672.61493	Inhibitory	I-3	MPN	-0.04
-1889x3786	-1888.744127	3786.270082	Inhibitory	I-11	PVH	-0.04
-1873x3626	-1872.888955	3625.580093	Inhibitory	I-16	MPN	-0.04
-2032x3453	-2032.367191	3453.102467	Excitatory	E-8	PV	-0.04
-2029x3552	-2028.615783	3551.837798	Inhibitory	I-15	MPN	-0.04
-2023x3478	-2023.138902	3478.14018	Astrocyte		PV	-0.04
-2024x3446	-2023.997117	3446.436288	Inhibitory	I-11	PV	-0.04
-2021x3515	-2021.023327	3514.949093	Excitatory	E-8	PV	-0.04
-2015x3498	-2014.558036	3497.531411	Endothelial 1		PV	-0.04
-2015x3607	-2014.662615	3607.016235	Endothelial 1		MPN	-0.04
-2005x3441	-2005.062219	3441.169998	Excitatory	E-8	PV	-0.04
-2002x3452	-2001.985298	3452.135369	Excitatory	E-15	PV	-0.04
-1986x3446	-1986.029075	3446.433115	Inhibitory	I-34	MPN	-0.04
-1986x3508	-1986.376364	3508.254214	Excitatory	E-8	MPN	-0.04
-1986x3584	-1985.760797	3584.037381	Inhibitory	I-15	MPN	-0.04
-1984x3599	-1984.429937	3599.216461	Excitatory	E-8	MPN	-0.04
-1981x3422	-1981.036027	3422.213309	Inhibitory	I-1	MPN	-0.04
-1980x3570	-1979.772048	3569.738108	Inhibitory	I-7	MPN	-0.04
-1976x3549	-1975.706298	3548.530953	OD Immature 1		MPN	-0.04
-1972x3537	-1972.049779	3537.281543	OD Immature 1		PV	-0.04
-1969x3524	-1968.66972	3523.688483	Inhibitory	I-15	PV	-0.04
-1969x3470	-1969.089582	3469.676916	Inhibitory	I-15	MPN	-0.04
-1965x3479	-1964.557914	3479.263213	Excitatory	E-8	MPN	-0.04
-1961x3576	-1960.815038	3575.981099	Excitatory	E-7	MPN	-0.04
-1958x3569	-1957.523757	3569.230279	Excitatory	E-7	MPN	-0.04
-1960x3488	-1959.662129	3488.378575	Excitatory	E-15	MPN	-0.04
-1953x3540	-1953.294961	3539.528001	Excitatory	E-8	MPN	-0.04
-1950x3599	-1949.841498	3598.595188	Excitatory	E-17	MPN	-0.04
-1948x3581	-1948.201646	3580.839126	Astrocyte		MPN	-0.04
-1948x3556	-1948.135833	3556.090304	Inhibitory	I-15	MPN	-0.04
-1948x3467	-1947.520274	3467.346426	Astrocyte		MPN	-0.04
-1944x3490	-1944.223049	3489.977161	Excitatory	E-8	MPN	-0.04
-1940x3557	-1940.417575	3556.663154	Endothelial 2		MPN	-0.04
-1936x3510	-1936.06205	3510.463504	Inhibitory	I-15	MPN	-0.04
-1929x3517	-1929.020689	3517.396313	Pericytes		MPN	-0.04
-1925x3460	-1924.780304	3460.213383	Excitatory	E-15	MPN	-0.04
-1924x3581	-1924.028204	3581.113164	Inhibitory	I-7	MPN	-0.04
-1920x3547	-1919.939261	3546.695564	Inhibitory	I-7	MPN	-0.04
-1908x3563	-1907.556686	3563.115046	Excitatory	E-7	MPN	-0.04
-1906x3468	-1906.461224	3468.347757	Inhibitory	I-15	MPN	-0.04
-1908x3442	-1907.984729	3441.95714	Excitatory	E-8	MPN	-0.04
-1905x3434	-1905.334302	3433.918717	Excitatory	E-8	MPN	-0.04
-1901x3555	-1900.754142	3554.591724	Excitatory	E-8	MPN	-0.04
-1899x3589	-1899.230785	3589.110589	Inhibitory	I-16	MPN	-0.04
-1897x3536	-1896.733874	3535.99061	Inhibitory	I-3	MPN	-0.04
-1895x3604	-1894.78709	3603.812524	Excitatory	E-7	MPN	-0.04
-1894x3560	-1894.458875	3560.159353	Astrocyte		MPN	-0.04
-1894x3485	-1893.78531	3484.956451	Excitatory	E-17	MPN	-0.04
-1892x3510	-1891.727757	3510.352362	Excitatory	E-15	MPN	-0.04
-1892x3574	-1891.785508	3574.286537	Inhibitory	I-6	MPN	-0.04
-1875x3432	-1874.839034	3431.667806	Inhibitory	I-11	MPN	-0.04
-1869x3529	-1868.966659	3529.364191	Excitatory	E-15	MPN	-0.04
-1867x3513	-1866.894728	3513.338526	Inhibitory	I-2	MPN	-0.04
-1867x3553	-1867.332198	3552.727237	Inhibitory	I-7	MPN	-0.04
-1855x3473	-1855.239746	3473.390259	Inhibitory	I-4	MPN	-0.04
-1852x3508	-1852.352658	3508.487379	Excitatory	E-8	MPN	-0.04
-2021x3564	-2020.501465	3564.085461	Microglia		MPN	-0.04
-2021x3585	-2020.952907	3584.69558	Inhibitory	I-7	MPN	-0.04
-2021x3574	-2020.846293	3574.364196	Endothelial 3		MPN	-0.04
-2018x3532	-2018.381565	3531.780828	Astrocyte		PV	-0.04
-2015x3521	-2014.573645	3521.201004	Inhibitory	I-15	PV	-0.04
-1993x3474	-1993.196157	3473.84332	Inhibitory	I-7	PV	-0.04
-1992x3533	-1992.403945	3533.2042	Endothelial 1		MPN	-0.04
-1964x3601	-1964.408397	3600.969833	OD Immature 1		MPN	-0.04
-1960x3507	-1959.709968	3507.101254	Astrocyte		PV	-0.04
-1915x3463	-1915.072006	3462.791963	Excitatory	E-17	MPN	-0.04
-1892x3437	-1891.523615	3436.725463	Excitatory	E-8	MPN	-0.04
-1868x3575	-1868.106789	3574.537417	Inhibitory	I-8	MPN	-0.04
-1999x3559	-1999.13673	3558.913843	Inhibitory	I-15	MPN	-0.04
-1972x3479	-1971.726347	3479.064502	Inhibitory	I-15	MPN	-0.04
-1968x3514	-1967.575361	3514.284101	Inhibitory	I-11	PV	-0.04
-1938x3596	-1937.911781	3596.49498	Excitatory	E-7	MPN	-0.04
-1926x3474	-1925.624786	3473.564539	Excitatory	E-17	MPN	-0.04
-1901x3496	-1900.554541	3495.778907	Inhibitory	I-11	MPN	-0.04
-1889x3449	-1889.346254	3448.859687	Inhibitory	I-11	MPN	-0.04
-1869x3601	-1868.871988	3601.392174	Excitatory	E-7	MPN	-0.04
-2020x3428	-2019.557216	3427.798045	Inhibitory	I-34	PV	-0.04
-2007x3487	-2007.46045	3486.963145	Excitatory	E-8	PV	-0.04
-2004x3492	-2003.71439	3492.067154	Inhibitory	I-15	PV	-0.04
-1996x3503	-1995.747455	3503.437525	Excitatory	E-8	MPN	-0.04
-1993x3552	-1993.205432	3552.474995	Inhibitory	I-15	MPN	-0.04
-1987x3498	-1986.673414	3498.013743	Excitatory	E-8	MPN	-0.04
-1970x3425	-1970.497038	3424.782204	Inhibitory	I-12	MPN	-0.04
-1916x3607	-1916.235348	3607.323472	Astrocyte		MPN	-0.04
